0,0
0,1
2,2
2,3
2,4
4,2
4,5
4,6
5,2
5,7
5,0
5,1
6,0
6,8
8,2
8,0
9,2
9,0
10,9
10,0
10,10
10,11
11,2
12,12
12,2
12,0
13,13
13,0
13,11
14,14
14,15
14,0
14,10
15,16
15,2
15,17
16,12
16,15
16,0
16,11
16,8
18,15
18,0
18,4
19,15
19,0
19,18
20,12
20,0
20,11
21,19
23,0
24,0
25,12
25,2
25,0
26,12
26,0
27,12
27,13
27,2
27,0
28,12
28,20
29,12
29,21
30,12
30,13
30,4
31,12
31,0
32,1
33,22
33,15
33,11
33,19
34,2
34,23
34,0
35,0
35,8
41,0
42,13
42,2
42,24
42,0
42,11
43,0
43,4
45,0
47,11
49,9
49,0
49,11
51,12
51,0
55,0
56,25
58,12
58,25
58,26
66,12
66,2
66,27
70,12
70,11
76,2
76,27
76,1
78,12
78,0
82,12
82,28
82,9
82,0
88,0
135,4
136,15
136,0
142,0
155,12
155,0
166,9
166,0
166,11
196,2
196,0
196,1
198,0
198,11
199,12
200,2
200,7
201,12
204,25
207,14
207,29
207,3
208,14
208,30
208,15
208,5
208,31
208,32
209,12
209,14
209,15
209,0
209,18
209,33
210,14
210,15
210,0
210,34
211,14
211,15
211,0
211,5
212,14
212,2
212,15
212,11
212,4
213,0
214,12
214,14
214,15
214,19
214,1
214,35
215,12
215,14
215,15
215,0
215,5
216,14
216,15
216,19
217,2
217,22
217,15
217,11
217,4
218,14
218,9
218,15
218,11
218,36
219,12
219,37
219,30
219,11
219,31
220,10
220,11
221,12
221,30
221,19
224,10
224,11
224,31
227,12
227,30
227,10
227,11
228,10
228,11
228,31
229,12
229,38
229,30
229,39
229,40
232,12
232,11
253,41
253,2
260,38
260,9
260,30
260,31
260,32
261,42
261,0
261,4
262,12
262,38
262,13
262,2
262,27
262,43
262,11
263,12
265,11
266,12
266,27
267,11
268,13
268,44
268,11
268,4
270,28
270,2
271,28
271,11
272,2
272,7
273,12
273,14
273,15
273,11
274,12
274,27
275,2
275,11
276,11
277,11
278,12
278,27
279,2
279,24
281,11
285,4
286,12
286,11
286,4
289,13
289,5
289,11
290,11
300,13
315,11
333,12
333,13
346,29
346,15
346,3
