0,0
0,1
0,2
0,3
0,4
1,5
1,6
2,7
2,8
3,9
3,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
6,20
6,21
6,22
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
9,38
9,39
9,40
9,41
9,42
10,43
10,44
10,45
11,46
11,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
13,55
13,56
13,57
13,58
15,59
15,60
16,61
16,62
16,63
16,64
16,65
16,66
16,67
16,68
16,69
17,70
17,71
17,72
17,73
18,74
18,75
18,76
18,77
18,78
18,79
18,80
18,81
18,82
18,83
19,84
19,85
19,86
19,87
20,88
20,89
20,90
20,91
21,92
21,93
21,94
22,95
22,96
22,97
22,98
23,99
23,100
23,101
23,102
24,103
24,104
24,105
24,106
24,107
24,108
24,109
24,110
25,111
25,112
25,113
25,114
26,115
26,116
26,117
26,118
26,119
26,120
27,121
27,122
27,123
27,124
28,125
28,126
28,127
28,128
28,129
28,130
28,131
28,132
29,133
29,134
30,135
30,136
30,137
30,138
31,139
31,140
31,141
31,142
31,143
32,144
32,145
32,146
32,147
32,148
32,149
33,150
33,151
33,152
33,153
33,154
33,155
35,156
35,157
35,158
36,159
36,160
37,161
37,162
38,163
38,164
39,165
39,166
39,167
39,168
40,169
40,170
40,171
40,172
